Key,Value_Length,Read_Duration
lorem_370,2731,0.0008921623229980469
lorem_375,2781,0.0007102489471435547
lorem_380,2830,2.7894973754882812e-05
lorem_385,2861,2.1219253540039062e-05
lorem_390,2882,2.193450927734375e-05
lorem_395,2937,2.0265579223632812e-05
lorem_400,2986,2.1219253540039062e-05
lorem_405,2986,1.9788742065429688e-05
lorem_410,3040,2.002716064453125e-05
lorem_415,3080,2.002716064453125e-05
lorem_420,3140,2.002716064453125e-05
lorem_425,3150,1.9311904907226562e-05
lorem_430,3186,1.9788742065429688e-05
lorem_435,3230,1.9073486328125e-05
lorem_440,3269,0.0006880760192871094
lorem_445,3308,2.8133392333984375e-05
lorem_450,3341,2.09808349609375e-05
lorem_455,3389,2.09808349609375e-05
lorem_460,3446,1.8835067749023438e-05
lorem_465,3442,2.002716064453125e-05
lorem_470,3450,1.9073486328125e-05
lorem_475,3501,2.002716064453125e-05
lorem_480,3543,1.8835067749023438e-05
lorem_485,3615,0.0007486343383789062
lorem_490,3635,0.0007579326629638672
lorem_495,3659,2.7894973754882812e-05
lorem_500,3710,0.0007066726684570312
lorem_505,3783,0.0006709098815917969
lorem_510,3786,2.4080276489257812e-05
lorem_515,3821,1.9073486328125e-05
lorem_520,3861,1.7881393432617188e-05
lorem_525,3903,1.7881393432617188e-05
lorem_530,3918,1.71661376953125e-05
lorem_535,3965,0.0006260871887207031
lorem_540,4005,0.0006158351898193359
lorem_545,4037,2.4080276489257812e-05
lorem_550,4088,1.8835067749023438e-05
lorem_555,4107,1.9073486328125e-05
lorem_560,4166,1.811981201171875e-05
lorem_565,4188,1.71661376953125e-05
lorem_570,4240,1.6689300537109375e-05
lorem_575,4269,0.0006539821624755859
lorem_580,4315,2.288818359375e-05
lorem_585,4322,0.0006792545318603516
lorem_590,4371,2.4080276489257812e-05
lorem_595,4436,2.002716064453125e-05
lorem_600,4447,1.7881393432617188e-05
lorem_605,4516,1.7881393432617188e-05
lorem_610,4506,0.0006661415100097656
lorem_615,4600,2.47955322265625e-05
lorem_620,4578,1.9073486328125e-05
lorem_625,4652,1.7881393432617188e-05
lorem_630,4668,1.71661376953125e-05
lorem_635,4674,1.7881393432617188e-05
lorem_640,4742,1.71661376953125e-05
lorem_645,4788,1.71661376953125e-05
lorem_650,4814,1.7881393432617188e-05
lorem_655,4853,1.5974044799804688e-05
lorem_660,4891,1.71661376953125e-05
lorem_665,4895,0.0006673336029052734
lorem_670,4988,2.288818359375e-05
lorem_675,5031,1.7881393432617188e-05
lorem_680,5055,1.7881393432617188e-05
lorem_685,5066,0.0006361007690429688
lorem_690,5126,0.0006189346313476562
lorem_695,5158,2.4080276489257812e-05
lorem_700,5177,1.8835067749023438e-05
lorem_705,5253,1.7881393432617188e-05
lorem_710,5271,0.0006787776947021484
lorem_715,5318,2.002716064453125e-05
lorem_720,5353,0.0005576610565185547
lorem_725,5378,2.002716064453125e-05
lorem_730,5417,0.0005829334259033203
lorem_735,5455,2.002716064453125e-05
lorem_740,5501,2.09808349609375e-05
lorem_745,5525,0.0006160736083984375
lorem_750,5569,1.9788742065429688e-05
lorem_755,5619,1.621246337890625e-05
lorem_760,5635,1.5020370483398438e-05
lorem_765,5691,1.5974044799804688e-05
lorem_770,5711,1.4781951904296875e-05
lorem_775,5715,0.0005688667297363281
lorem_780,5799,1.8835067749023438e-05
lorem_785,5801,1.5735626220703125e-05
lorem_790,5846,1.5020370483398438e-05
lorem_795,5878,1.5020370483398438e-05
lorem_800,5950,1.5020370483398438e-05
lorem_805,6002,1.3828277587890625e-05
lorem_810,6011,1.3828277587890625e-05
lorem_815,6045,0.0005698204040527344
lorem_820,6054,0.0005621910095214844
lorem_825,6110,0.0005700588226318359
lorem_830,6173,2.0265579223632812e-05
lorem_835,6216,1.621246337890625e-05
lorem_840,6217,1.4781951904296875e-05
lorem_845,6259,1.5974044799804688e-05
lorem_850,6322,1.5020370483398438e-05
