Key,Value_Length,Read_Duration
lorem_875,6484,1.8835067749023438e-05
lorem_880,6545,1.9073486328125e-05
lorem_885,6561,1.9788742065429688e-05
lorem_890,6600,2.193450927734375e-05
lorem_895,6633,2.09808349609375e-05
lorem_900,6670,2.193450927734375e-05
lorem_905,6715,2.002716064453125e-05
lorem_910,6754,2.193450927734375e-05
lorem_915,6790,2.09808349609375e-05
lorem_920,6829,2.09808349609375e-05
lorem_925,6857,2.09808349609375e-05
lorem_930,6903,1.9073486328125e-05
lorem_935,6936,2.09808349609375e-05
lorem_940,6999,2.002716064453125e-05
lorem_945,6998,2.002716064453125e-05
lorem_950,7068,2.09808349609375e-05
lorem_955,7104,2.193450927734375e-05
lorem_960,7132,2.1219253540039062e-05
lorem_965,7175,2.2172927856445312e-05
lorem_970,7197,2.2172927856445312e-05
lorem_975,7236,2.002716064453125e-05
lorem_980,7258,1.9073486328125e-05
lorem_985,7325,1.9073486328125e-05
lorem_990,7352,2.193450927734375e-05
lorem_995,7384,2.002716064453125e-05
lorem_1000,7436,2.0265579223632812e-05
