Key,Value_Length,Write_Duration
lorem_355,2636,0.0009248256683349609
lorem_360,2675,0.0010013580322265625
lorem_365,2709,0.0009171962738037109
lorem_370,2731,0.0008959770202636719
lorem_375,2781,0.0010139942169189453
lorem_380,2830,0.00090789794921875
lorem_385,2861,0.0009081363677978516
lorem_390,2882,0.000946044921875
lorem_395,2937,0.0010921955108642578
lorem_400,2986,0.0009667873382568359
lorem_405,2986,0.0009419918060302734
lorem_410,3040,0.0008950233459472656
lorem_415,3080,0.0009229183197021484
lorem_420,3140,0.0009100437164306641
lorem_425,3150,0.001065969467163086
lorem_430,3186,0.0011577606201171875
lorem_435,3230,0.0009071826934814453
lorem_440,3269,0.0008878707885742188
lorem_445,3308,0.0008809566497802734
lorem_450,3341,0.0009479522705078125
lorem_455,3389,0.0009217262268066406
lorem_460,3446,0.0009052753448486328
lorem_465,3442,0.0011301040649414062
lorem_470,3450,0.0009288787841796875
lorem_475,3501,0.0009889602661132812
lorem_480,3543,0.0009350776672363281
lorem_485,3615,0.0009138584136962891
lorem_490,3635,0.0009179115295410156
lorem_495,3659,0.0009381771087646484
lorem_500,3710,0.0010221004486083984
lorem_505,3783,0.0009047985076904297
lorem_510,3786,0.0009808540344238281
lorem_515,3821,0.0009541511535644531
lorem_520,3861,0.0009629726409912109
lorem_525,3903,0.0008897781372070312
lorem_530,3918,0.0009250640869140625
lorem_535,3965,0.000978231430053711
lorem_540,4005,0.0009162425994873047
lorem_545,4037,0.0010039806365966797
lorem_550,4088,0.0009529590606689453
lorem_555,4107,0.0009410381317138672
lorem_560,4166,0.001020193099975586
lorem_565,4188,0.0010840892791748047
lorem_570,4240,0.0009539127349853516
lorem_575,4269,0.00092315673828125
lorem_580,4315,0.0008950233459472656
lorem_585,4322,0.0009338855743408203
lorem_590,4371,0.0009202957153320312
lorem_595,4436,0.0009059906005859375
lorem_600,4447,0.0008821487426757812
lorem_605,4516,0.0010149478912353516
lorem_610,4506,0.0009129047393798828
lorem_615,4600,0.0009138584136962891
lorem_620,4578,0.0009472370147705078
lorem_625,4652,0.0011658668518066406
lorem_630,4668,0.0009143352508544922
lorem_635,4674,0.0010309219360351562
lorem_640,4742,0.0009639263153076172
lorem_645,4788,0.0009109973907470703
lorem_650,4814,0.0009009838104248047
lorem_655,4853,0.0010540485382080078
lorem_660,4891,0.0009012222290039062
lorem_665,4895,0.0009610652923583984
lorem_670,4988,0.0009391307830810547
lorem_675,5031,0.0009100437164306641
lorem_680,5055,0.0009441375732421875
lorem_685,5066,0.0009169578552246094
lorem_690,5126,0.001116037368774414
lorem_695,5158,0.0009419918060302734
lorem_700,5177,0.0009281635284423828
lorem_705,5253,0.0010349750518798828
lorem_710,5271,0.0009169578552246094
lorem_715,5318,0.0011141300201416016
lorem_720,5353,0.0009341239929199219
